#datatype measurement,dateTime,long,tag,tag,tag
record,time,val,hostNode,clusterName
es-jvm_jvm_gc_collectors_old_collection_count,1719337613000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337673000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337733000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337793000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337853000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337913000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719337973000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338033000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338093000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338153000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338213000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338273000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338333000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338393000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338453000000000,1,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338513000000000,2,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338573000000000,1,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338633000000000,2,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338693000000000,1,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338753000000000,1,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338813000000000,1,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338873000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338933000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719338993000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339053000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339113000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339173000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339233000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339293000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339353000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339413000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339473000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339533000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339593000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339653000000000,0,es-data-paid1-es7-28-1e,,paid1-es7
es-jvm_jvm_gc_collectors_old_collection_count,1719339713000000000,0,es-data-paid1-es7-28-1e,,paid1-es7